id,title,start_date,end_date,mean,rank,popularity,num_scoring_users,media_type,genres,num_episodes,year,season,day_of_the_week,start_time,source,average_episode_duration,watching,completed,on_hold,dropped,plan_to_watch
2041,Ai to Yuuki no Pig Girl Tonde Buurin,1994-09-03,1995-08-26,6.63,5185,5119,3549,tv,Parody+Adventure+Fantasy+Magic+Comedy+Romance+School+Shoujo,51,1994,fall,saturday,18:00,manga,1500,296,5041,528,903,1665
1239,Bishoujo Senshi Sailor Moon SuperS,1995-03-04,1996-03-02,7.59,1280,1512,45010,tv,Drama+Magic+Romance+Shoujo,39,1995,spring,saturday,19:00,manga,1440,2237,67656,1787,1144,13533
876,Street Fighter II V,1995-04-10,1995-11-27,7.07,3361,3427,11857,tv,Action+Adventure+Drama+Mystery+Shounen,29,1995,spring,monday,19:00,game,1440,770,15249,747,893,3820
906,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,1995-07-15,1995-07-15,7.35,2095,1420,57124,movie,Action+Adventure+Comedy+Fantasy+Sci-Fi+Shounen,1,1995,summer,,,manga,3060,618,86180,318,244,5339
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,1995-07-15,1995-07-15,7.68,1067,4391,6000,movie,Comedy+Drama+School+Shounen+Slice of Life+Sports,1,1995,summer,,,manga,2400,191,8798,145,141,3050
1573,Kishin Douji Zenki,1995-01-09,1995-12-25,6.98,3698,4703,3866,tv,Action+Comedy+Drama+Ecchi+Fantasy+Horror+Magic+Shounen,51,1995,winter,monday,18:00,manga,1460,598,5155,625,751,3315
1225,3x3 Eyes: Seima Densetsu,1995-07-25,1996-06-25,6.98,3684,4401,6242,ova,Action+Adventure+Horror+Demons+Romance+Fantasy,3,1995,summer,,,manga,2700,253,8732,215,175,2856
914,Ike! Ina-chuu Takkyuubu,1995-04-06,1995-09-28,7.57,1365,4242,3707,tv,Comedy+Ecchi+School+Sports,26,1995,spring,,,manga,1470,879,4338,692,964,6534
1011,Ranma ½ Super,1995-09-21,1996-01-19,7.67,1108,4023,7137,ova,Adventure+Comedy+Martial Arts+Romance+Shounen+Supernatural,3,1995,summer,,,manga,1560,298,11409,198,135,3237
331,Mahoujin Guruguru,1994-10-13,1995-09-14,7.62,1225,5080,2490,tv,Adventure+Comedy+Magic+Fantasy+Shounen,45,1994,fall,thursday,19:30,manga,1380,534,3289,574,524,3680
536,Slayers: The Motion Picture,1995-07-29,1995-07-29,7.3,2316,3489,11607,movie,Adventure+Comedy+Magic+Fantasy+Shounen,1,1995,summer,,,light_novel,3960,231,16724,188,106,3549
7505,Knyacki!,1995-04-07,,6.17,7389,11460,178,tv,Comedy+Kids+Drama+Fantasy,0,1995,spring,,,,300,185,0,44,121,251
1776,Bulg-eunmae,1995-08-05,1995-08-05,5.57,9317,10337,440,movie,Super Power+Martial Arts,1,1995,summer,,,,5160,28,594,11,36,300
5462,Top wo Nerae! Kagaku Kouza,1988-10-07,1995-09-18,6.13,7563,5459,3670,special,Comedy+Sci-Fi,6,1988,fall,,,original,120,112,5740,105,127,1139
12393,Oyako Club,1994-10-03,2013-03-30,5.59,9273,11210,235,tv,Slice of Life+Comedy,1818,1994,fall,,,original,300,33,390,17,93,133
2851,Ninkuu (Movie),1995-07-15,1995-07-15,6.15,7473,9660,551,movie,Action+Adventure+Comedy+Historical+Martial Arts+Shounen,1,1995,summer,,,manga,1560,29,785,25,49,441
9768,Shima Shima Tora no Shimajirou,1993-12-13,2008-03-31,6.07,7846,11786,133,tv,Adventure+Comedy+Fantasy+Kids+Magic,726,1994,winter,monday,18:00,original,1410,28,216,23,105,152
6472,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,1994-08-15,1995-12-29,6.18,7355,9650,219,tv,Horror,35,1994,summer,other,16:00,,300,49,324,39,99,821
1533,Ai Tenshi Densetsu Wedding Peach,1995-04-05,1996-03-27,6.69,4882,3740,7501,tv,Adventure+Magic+Comedy+Romance+Shoujo,51,1995,spring,wednesday,18:00,manga,1440,734,10336,969,1736,4056
2473,Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,1995-09-21,1995-11-22,6.04,7966,7605,1121,ova,Action+Adventure+Comedy+Magic+Mecha+Sci-Fi,2,1995,summer,,,game,1680,94,1559,53,81,1256
2522,Rakushou! Hyper Doll,1995-09-25,1995-11-25,5.73,8910,8887,778,ova,Magic+Adventure+Comedy+Sci-Fi+Shounen,2,1995,summer,,,manga,1712,49,1037,33,59,653
515,Hajimari no Boukensha-tachi: Legend of Crystania,1995-07-29,1995-07-29,6.06,7882,6701,1776,movie,Action+Adventure+Fantasy+Magic+Supernatural,1,1995,summer,,,,4800,118,2472,76,85,1567
2072,Idol Project,1995-09-22,1997-10-24,5.75,8842,9178,517,ova,Adventure+Comedy+Music,4,1995,summer,,,,1800,73,722,48,94,688
2406,Sazae-san,1969-10-05,,6.15,7479,6276,1115,tv,Slice of Life+Comedy,0,1969,fall,sunday,18:30,4_koma_manga,1440,1215,1,447,1126,2268
1528,Bishoujo Yuugekitai Battle Skipper,1995-08-23,1995-12-16,5.26,10006,9280,545,ova,Sci-Fi+Comedy+Mecha,3,1995,summer,,,original,1620,53,772,40,67,627
21101,Katta-kun Monogatari,1995-07-12,1995-07-12,,14719,15161,30,movie,Adventure+Kids,1,1995,summer,,,,4500,10,54,3,35,68
29375,Robot Pulta,1995-04-04,,,11474,14895,30,tv,Adventure+Comedy+Kids+Mecha,0,1995,spring,,,,300,53,0,10,51,71
12793,Yanbou Ninbou Tonbou,1995-04-05,1996-01-24,,12725,14619,29,tv,Fantasy,39,1995,spring,wednesday,18:00,radio,1500,12,57,7,53,72
21553,Asobo Toy-chan,1994-09-05,1996-03-28,,13124,14808,39,tv,Kids,53,1994,fall,,,,1500,9,63,3,53,60
34685,Kekkon Soudan Sho,1995-07-21,1995-07-21,,14746,15747,64,music,Music,1,1995,summer,,,original,128,7,94,0,13,24
11197,Kuma no Puutarou,1995-04-19,1996-03-29,,15018,14611,34,tv,Comedy,30,1995,spring,wednesday,19:30,,1440,12,56,6,47,80
29493,Kyouryou Pikora,1995-08-01,1995-08-01,,15077,15703,46,special,Kids+Adventure,1,1995,summer,,,,300,6,65,2,27,40
29489,Karasu no Puuta,1995-06-09,1995-10-02,,14701,15702,17,tv,Kids,2,1995,summer,,,,300,10,40,4,45,41
30121,Fushigina Ano Ko wa Sutekina Kono Ko,1994-04-04,1997-04-04,,13797,15658,15,tv,Adventure+Kids,154,1994,spring,,,,60,12,40,5,49,36
29467,Bubaga,1995-05-05,1997-01-08,,13286,15331,26,tv,Kids+Adventure,8,1995,spring,,,,300,12,48,4,46,50
20143,Kazu & Yasu Hero Tanjou,1995-07-22,1995-07-22,,14739,13924,38,movie,Drama+Sports,1,1995,summer,,,,5551,16,64,7,40,119
16263,Konchuu Tsurezuregusa,1995-08-03,1995-08-03,,14948,13297,40,ova,Kids+Slice of Life,1,1995,summer,,,,900,10,62,5,39,178
24259,Mechano: Scientific Attack Force,1995-09-01,1995-09-01,,15325,13276,72,ova,Comedy+Dementia+Fantasy+Horror+Music+Parody,3,1995,summer,,,,600,19,105,8,34,130
18819,Alice Tantei Kyoku,1995-04-05,1997-01-21,,13030,13247,56,tv,Mystery+Kids+Fantasy,56,1995,spring,,,original,720,13,93,14,62,116
9812,Bit the Cupid,1995-04-26,1996-03-29,,13224,13673,42,tv,Comedy,48,1995,spring,,,,1500,15,74,6,57,111
10058,Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!,1995-07-29,1995-07-29,,11948,13829,61,movie,Comedy+Fantasy+Kids,1,1995,summer,,,,5160,9,108,3,58,76
23767,Yamiyo no Jidaigeki (OVA),1995-08-02,1995-08-02,,12723,14356,34,ova,Historical+Horror,2,1995,summer,,,,900,12,55,8,39,103
32136,Narara Superboard,1990-08-21,2002-01-11,,15626,14163,50,tv,Action+Adventure+Comedy,54,1990,summer,tuesday,,manga,1340,17,79,6,52,76
25983,Private Eye Dol,1995-08-12,1996-04-05,,11364,14083,34,special,Comedy+Mystery,3,1995,summer,,,,900,14,57,5,27,132
21933,Sore Ike! Anpanman: Anpanman to Happy Otanjoubi,1995-07-29,1995-07-29,,11886,14509,44,movie,Comedy+Fantasy+Kids,1,1995,summer,,,,1789,10,84,3,55,55
30,Neon Genesis Evangelion,1995-10-04,1996-03-27,8.31,215,53,606797,tv,Action+Sci-Fi+Dementia+Psychological+Drama+Mecha,26,1995,fall,wednesday,18:30,original,1441,59859,750934,32452,18790,203750
2736,Mojakou,1995-10-03,1997-03-31,7.13,3062,8784,939,tv,Comedy+Fantasy+Sci-Fi,74,1995,fall,tuesday,18:30,,1500,44,1274,81,198,298
8120,Gotou ni Naritai.,1995-10-10,1995-10-10,7.08,3296,8566,706,movie,Slice of Life+School+Drama,1,1995,fall,,,original,4500,46,911,40,51,1023
367,Akazukin Chacha OVA,1995-12-06,1996-03-06,7.04,3473,8421,839,ova,Comedy+Fantasy+Magic,3,1995,fall,,,manga,1440,52,1313,65,85,691
1893,Azuki-chan,1995-04-04,1998-03-17,6.72,4759,8365,752,tv,Comedy+Romance+Shoujo+Slice of Life,117,1995,spring,tuesday,18:00,manga,1440,101,1094,108,218,734
1577,Taiho Shichau zo,1994-09-24,1995-11-25,7.46,1693,3831,5571,ova,Action+Comedy+Police+Seinen,4,1994,summer,,,manga,1800,703,7542,391,239,8160
5440,Ougon Yuusha Goldran,1995-02-04,1996-01-27,6.83,4286,8794,361,tv,Action+Sci-Fi+Adventure+Fantasy+Mecha+Shounen,48,1995,winter,saturday,17:00,original,1440,129,523,87,118,1038
2757,Juuni Senshi Bakuretsu Eto Ranger,1995-04-07,1996-01-26,6.83,4275,9274,402,tv,Action+Fantasy+Comedy,39,1995,spring,,,original,1530,88,573,73,138,692
3036,Tobe! Isami,1995-04-08,1996-03-30,7.16,2906,9130,456,tv,Action+Adventure+Comedy+Romance+Shounen,50,1995,spring,saturday,18:00,original,1500,92,653,90,135,681
1211,Macross Plus Movie Edition,1995-10-07,1995-10-07,7.73,951,4265,6487,movie,Action+Adventure+Mecha+Military+Romance+Sci-Fi+Space,1,1995,fall,,,original,6900,262,8891,171,132,3720
1567,Kaitou Saint Tail,1995-10-12,1996-09-12,7.56,1407,4048,5444,tv,Adventure+Magic+Romance+Shoujo,43,1995,fall,thursday,19:30,manga,1350,743,7601,841,714,5082
2487,Kyouryuu Boukenki Jura Tripper,1995-04-02,1995-12-24,6.66,5061,9616,380,tv,Sci-Fi+Adventure+Drama+Fantasy,39,1995,spring,sunday,07:30,other,1500,77,538,66,81,591
1563,Magic Knight Rayearth II,1995-04-10,1995-11-27,7.53,1498,3096,13541,tv,Adventure+Drama+Fantasy+Magic+Mecha+Romance+Shoujo,29,1995,spring,monday,19:30,manga,1468,691,18841,770,558,5593
90,Mobile Suit Gundam Wing,1995-04-07,1996-03-29,7.73,954,1084,71371,tv,Action+Military+Sci-Fi+Space+Drama+Mecha,49,1995,spring,friday,17:00,original,1440,5709,92386,5779,4280,19781
170,Slam Dunk,1993-10-16,1996-03-23,8.53,88,729,83459,tv,Comedy+Drama+School+Shounen+Sports,101,1993,fall,,,manga,1380,14466,102848,11457,7477,52326
43,Koukaku Kidoutai,1995-11-18,1995-11-18,8.3,223,248,242875,movie,Action+Mecha+Police+Psychological+Sci-Fi+Seinen,1,1995,fall,,,manga,4960,7881,315454,3268,1875,123520
813,Dragon Ball Z,1989-04-26,1996-01-31,8.17,329,82,558822,tv,Action+Adventure+Comedy+Fantasy+Martial Arts+Shounen+Super Power,291,1989,spring,wednesday,19:00,manga,1440,30191,724499,18187,22314,37529
1239,Bishoujo Senshi Sailor Moon SuperS,1995-03-04,1996-03-02,7.59,1280,1512,45010,tv,Drama+Magic+Romance+Shoujo,39,1995,spring,saturday,19:00,manga,1440,2237,67656,1787,1144,13533
123,Fushigi Yuugi,1995-04-06,1996-03-28,7.65,1139,1399,40645,tv,Adventure+Fantasy+Magic+Martial Arts+Comedy+Romance+Historical+Drama+Shoujo,52,1995,spring,thursday,18:00,manga,1410,4970,52230,5381,5805,25738
2471,Doraemon (1979),1979-04-02,2005-03-18,7.69,1041,2651,15012,tv,Adventure+Comedy+Fantasy+Kids+Sci-Fi+Shounen,1787,1979,spring,,,manga,660,3081,19193,3329,5897,3683
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,1995-12-23,1995-12-23,7.54,1454,2729,18079,movie,Drama+Magic+Shoujo,1,1995,fall,,,manga,3600,310,27682,253,172,4884
1462,Memories,1995-12-23,1995-12-23,7.73,953,1659,29613,movie,Drama+Horror+Psychological+Sci-Fi,3,1995,fall,,,manga,2260,2583,36822,1348,518,34205
2559,Romeo no Aoi Sora,1995-01-15,1995-12-17,8.36,173,2643,12230,tv,Adventure+Drama+Historical+Slice of Life,33,1995,winter,sunday,19:30,novel,1410,1412,16041,897,632,16299
966,Crayon Shin-chan,1992-04-13,,7.69,1040,2065,26501,tv,Slice of Life+Comedy+Ecchi+School+Seinen,0,1992,spring,friday,19:30,manga,1260,19988,24,12082,12584,9426
1938,Shin Kaitei Gunkan,1995-12-21,1996-08-01,6.12,7581,9336,507,ova,Action+Adventure+Fantasy+Historical+Military+Sci-Fi,2,1995,fall,,,other,3000,71,661,40,47,707
12347,Dirty Pair Flash 3,1995-12-21,1996-04-25,6.56,5547,7860,1012,ova,Action+Sci-Fi+Adventure+Comedy+Police,5,1995,fall,,,light_novel,1620,80,1525,66,47,1030
2465,Idol Bouei-tai Hummingbird,1993-09-01,1995-12-01,5.81,8672,8892,381,ova,Military+Music+Comedy+Parody,4,1993,summer,,,light_novel,2090,86,500,41,88,1114
2881,Chinmoku no Kantai,1995-12-18,1998-01-25,6.33,6622,8916,588,ova,Action+Military+Drama+Seinen,3,1995,fall,,,manga,1800,57,746,41,49,912
1850,Haou Daikei Ryuu Knight: Adeu Legend II,1995-12-18,1996-04-25,6.04,7969,11129,189,ova,Action+Adventure+Fantasy+Mecha,3,1995,fall,,,,1800,29,283,21,34,325
7505,Knyacki!,1995-04-07,,6.17,7389,11460,178,tv,Comedy+Kids+Drama+Fantasy,0,1995,spring,,,,300,185,0,44,121,251
4782,Mama wa Poyopoyo Saurus ga Osuki,1995-09-02,1996-08-31,6.55,5593,11570,117,tv,Comedy+Kids+Slice of Life,52,1995,fall,saturday,18:00,manga,1435,45,170,32,76,250
9768,Shima Shima Tora no Shimajirou,1993-12-13,2008-03-31,6.07,7846,11786,133,tv,Adventure+Comedy+Fantasy+Kids+Magic,726,1994,winter,monday,18:00,original,1410,28,216,23,105,152
9376,Yamato Takeru: After War,1995-11-22,1995-11-22,6.41,6295,11845,124,ova,Action+Adventure+Fantasy+Magic+Space+Mecha+Sci-Fi+Shounen,2,1995,fall,,,,1402,20,172,15,49,255
6779,Pokonyan!,1993-04-05,1996-03-29,6.58,5423,11301,227,tv,Comedy+Fantasy+Kids+Magic,170,1993,spring,,,,600,34,318,36,97,157
616,Nurse Angel Ririka SOS,1995-07-07,1996-03-29,6.74,4655,7791,513,tv,Drama+Fantasy+Magic+Shoujo,35,1995,summer,friday,18:00,manga,1460,183,702,194,217,1545
4286,Bonobono (TV),1995-04-20,1996-03-28,6.75,4614,10033,257,tv,Comedy,48,1995,spring,thursday,19:00,4_koma_manga,900,103,335,91,161,415
26189,Ai Tenshi Densetsu Wedding Peach Specials,1995-11,1995-11,6.22,7149,9955,331,special,Adventure+Comedy+Magic+Romance+Shoujo,2,1995,fall,,,,600,51,617,22,54,404
2980,Kuusou Kagaku Sekai Gulliver Boy,1995-01-08,1995-12-24,6.42,6251,10100,225,tv,Action+Adventure+Fantasy+Magic+Mecha,50,1995,winter,sunday,09:00,,1450,67,335,66,92,522
6095,Azuki-chan the Movie,1995-12-23,1995-12-23,6.11,7623,10959,283,movie,Comedy+Romance+Shoujo+Slice of Life,1,1995,fall,,,manga,1800,22,411,9,56,242
6472,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,1994-08-15,1995-12-29,6.18,7355,9650,219,tv,Horror,35,1994,summer,other,16:00,,300,49,324,39,99,821
12393,Oyako Club,1994-10-03,2013-03-30,5.59,9273,11210,235,tv,Slice of Life+Comedy,1818,1994,fall,,,original,300,33,390,17,93,133
1960,Sore Ike! Anpanman,1988-10-03,,6.46,6017,8583,696,tv,Comedy+Kids+Fantasy,0,1988,fall,friday,16:20,picture_book,1440,493,1,271,640,649
116,El Hazard: The Wanderers,1995-10-06,1996-03-29,6.98,3693,4111,5818,tv,Adventure+Comedy+Romance+Fantasy,26,1995,fall,friday,18:30,original,1380,591,8052,612,652,4378
495,Bakuretsu Hunters,1995-10-03,1996-03-26,6.71,4787,3874,5328,tv,Adventure+Comedy+Ecchi+Fantasy+Magic+Shounen+Supernatural,26,1995,fall,tuesday,18:00,manga,1500,933,7035,936,1110,6594
852,Gokinjo Monogatari,1995-09-10,1996-09-01,7.45,1727,4319,2605,tv,Slice of Life+Comedy+Drama+Romance+Shoujo,50,1995,fall,,,manga,1500,1087,3204,923,698,6934
1225,3x3 Eyes: Seima Densetsu,1995-07-25,1996-06-25,6.98,3684,4401,6242,ova,Action+Adventure+Horror+Demons+Romance+Fantasy,3,1995,summer,,,manga,2700,253,8732,215,175,2856
1573,Kishin Douji Zenki,1995-01-09,1995-12-25,6.98,3698,4703,3866,tv,Action+Comedy+Drama+Ecchi+Fantasy+Horror+Magic+Shounen,51,1995,winter,monday,18:00,manga,1460,598,5155,625,751,3315
1533,Ai Tenshi Densetsu Wedding Peach,1995-04-05,1996-03-27,6.69,4882,3740,7501,tv,Adventure+Magic+Comedy+Romance+Shoujo,51,1995,spring,wednesday,18:00,manga,1440,734,10336,969,1736,4056
1278,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,1995-12-23,1995-12-23,7.3,2328,3497,10156,special,Comedy+Magic+Romance+Shoujo,1,1995,fall,,,manga,957,200,16087,184,154,4071
650,Gunsmith Cats,1995-11-01,1996-09-01,7.27,2462,2786,14155,ova,Action+Comedy+Police+Seinen,3,1995,fall,,,manga,1740,1062,18487,472,325,11732
1079,Armitage III,1995-02-25,1995-11-25,7.06,3386,3154,10894,ova,Action+Adventure+Romance+Mecha+Sci-Fi+Police,4,1995,winter,,,original,2070,807,14911,434,413,9057
6149,Chibi Maruko-chan (1995),1995-01-08,,7.21,2694,7755,952,tv,Slice of Life+Comedy+Kids+School,0,1995,winter,sunday,18:00,manga,1380,927,1,431,588,924
876,Street Fighter II V,1995-04-10,1995-11-27,7.07,3361,3427,11857,tv,Action+Adventure+Drama+Mystery+Shounen,29,1995,spring,monday,19:00,game,1440,770,15249,747,893,3820
2126,Yuu☆Yuu☆Hakusho: Eizou Hakusho II,1995-12-16,1996-02-07,7.34,2152,4735,3763,ova,Action+Adventure+Comedy+Supernatural+Shounen,4,1995,fall,,,manga,1380,203,6247,173,151,3495
1674,Captain Tsubasa J,1994-10-21,1995-12-22,7.28,2431,3338,13351,tv,Action+Sports+Shounen,47,1994,fall,friday,19:30,manga,1620,380,19431,338,531,1981
912,Ninkuu,1995-01-14,1996-02-24,7.03,3518,6478,978,tv,Adventure+Shounen,55,1995,winter,saturday,06:30,manga,1460,384,1113,457,440,2315
3421,Kodomo no Omocha,1995-12-16,1995-12-16,7.12,3115,6410,1745,ova,Comedy+Drama+School+Shoujo,1,1995,fall,,,manga,1800,112,2822,73,81,1737
3005,Shadow Skill,1995-10-25,1995-10-25,6.6,5328,6480,1705,ova,Adventure+Drama+Fantasy+Shounen,1,1995,fall,,,,3086,136,2589,72,82,1824
1630,Yousei Hime Ren,1995-10-27,1996-01-26,6.1,7689,7394,1531,ova,Adventure+Comedy+Fantasy,2,1995,fall,,,original,1800,73,2039,62,92,1053
1269,Bio Hunter,1995-12-08,1995-12-08,5.94,8273,4758,4545,ova,Action+Demons+Horror,1,1995,fall,,,manga,3480,261,6017,114,88,3652
6509,Kiteretsu Daihyakka,1988-03-27,1996-06-09,6.66,5059,7498,1540,tv,Comedy+Drama+Kids+Slice of Life,331,1988,spring,sunday,19:00,manga,1536,130,1938,187,519,414
1199,Nintama Rantarou,1993-04-10,,7.07,3347,6323,1646,tv,Comedy+Kids,0,1993,spring,other,18:10,manga,600,1334,1,773,1132,1731
2122,Captain Tsubasa: Saikyou no Teki! Holland Youth,1995-12-16,1995-12-16,6.85,4188,7069,1774,ova,Action+Shounen+Sports,1,1995,fall,,,,2820,58,2807,58,92,756
